power_demand_MWh,is_weekend,hour_sin,hour_cos,resident_pop,working_pop,visitor_pop,total_visitors,renewable_energy_mwh,TA_mean,HM_mean,HM_max,tropical_night,CDD,power_1h,power_24h,power_48h,power_168h
640.144,0,-0.5000000000000004,0.8660254037844384,213819.0,28544.0,87654.0,30118.0,1.59,22.65,98.25,100.0,0,0.0,678.226,611.129,608.432,642.351
612.336,0,-0.25881904510252157,0.9659258262890681,213819.0,28544.0,87654.0,30118.0,1.45,22.525,97.75,100.0,0,0.0,640.144,588.338,590.521,603.753
564.97,0,0.0,1.0,145429.0,17222.0,79767.0,29031.0,0.77,22.4,98.25,100.0,0,0.0,612.336,545.332,548.716,554.165
531.502,0,0.25881904510252074,0.9659258262890683,145429.0,17222.0,79767.0,29031.0,0.91,22.3,97.75,100.0,0,0.0,564.97,515.368,517.438,520.87
509.347,0,0.49999999999999994,0.8660254037844387,145429.0,17222.0,79767.0,29031.0,0.94,22.05,97.75,100.0,0,0.0,531.502,495.486,495.815,502.563
496.853,0,0.7071067811865475,0.7071067811865476,145429.0,17222.0,79767.0,29031.0,0.73,22.0,98.0,100.0,0,0.0,509.347,483.923,483.764,492.517
497.547,0,0.8660254037844386,0.5000000000000001,145429.0,17222.0,79767.0,29031.0,0.03,21.775,98.25,100.0,0,0.0,496.853,479.244,479.69,492.295
509.297,0,0.9659258262890683,0.25881904510252074,145429.0,17222.0,79767.0,29031.0,1.93,21.675,98.25,100.0,0,0.0,497.547,490.221,483.361,494.002
539.354,0,1.0,6.123233995736766e-17,145429.0,17222.0,79767.0,29031.0,5.86,21.5,98.5,100.0,0,0.0,509.297,528.29,498.296,523.175
578.325,0,0.9659258262890683,-0.25881904510252063,145429.0,17222.0,79767.0,29031.0,36.339999999999996,21.975,98.25,100.0,0,0.0,539.354,572.434,513.216,564.683
615.881,0,0.8660254037844387,-0.4999999999999998,145429.0,17222.0,79767.0,29031.0,100.12,21.7,97.25,100.0,0,0.0,578.325,633.349,539.226,613.204
660.069,0,0.7071067811865476,-0.7071067811865475,145429.0,17222.0,79767.0,29031.0,127.11,23.25,92.25,99.0,0,0.0,615.881,678.065,553.902,642.605
718.029,0,0.49999999999999994,-0.8660254037844387,145429.0,17222.0,79767.0,29031.0,62.510000000000005,23.075,92.5,99.0,0,0.0,660.069,702.672,571.966,649.083
735.739,0,0.258819045102521,-0.9659258262890682,145429.0,17222.0,79767.0,29031.0,19.13,22.05,95.75,100.0,0,0.0,718.029,700.007,587.895,640.691
727.056,0,1.2246467991473532e-16,-1.0,145429.0,17222.0,79767.0,29031.0,18.87,21.875,97.75,100.0,0,0.0,735.739,699.847,605.144,622.869
732.536,0,-0.2588190451025208,-0.9659258262890683,145429.0,17222.0,79767.0,29031.0,25.02,22.1,98.0,100.0,0,0.0,727.056,705.419,591.756,624.086
721.548,0,-0.4999999999999997,-0.8660254037844388,145429.0,17222.0,79767.0,29031.0,23.4,22.1,96.0,100.0,0,0.0,732.536,705.784,605.888,637.835
